artist_id,artist_name,genres,artist_popularity,artist_followers,artist_profile,image,lg_image,md_image,sm_image
0U6hvUluJi171VXiY3oU9E,As Tequileiras do Funk,[],15,847,https://open.spotify.com/artist/0U6hvUluJi171VXiY3oU9E,https://i.scdn.co/image/ab6761610000e5eba6dcfb62a9120b97a4ada3c7,"(640, 640)","(320, 320)","(160, 160)"
2jrH2DRrZ0NU395R27gal6,Da Brozz,[],37,20330,https://open.spotify.com/artist/2jrH2DRrZ0NU395R27gal6,https://i.scdn.co/image/ab6761610000e5ebdd26370fe275a8b9b9862a29,"(640, 640)","(320, 320)","(160, 160)"
67Tfj03cthIyRsQLHqwI3V,Ljung,['tropical house'],30,1783,https://open.spotify.com/artist/67Tfj03cthIyRsQLHqwI3V,https://i.scdn.co/image/ab6761610000e5eb7d59946d835f8813ea1bf9be,"(640, 640)","(320, 320)","(160, 160)"
1PiKrkCHl9Y0u5KvPMpa9b,NONSENSE,['trap funk'],5,790,https://open.spotify.com/artist/1PiKrkCHl9Y0u5KvPMpa9b,https://i.scdn.co/image/ab6761610000e5ebcb8211503d050b883d4e0867,"(640, 640)","(320, 320)","(160, 160)"
18bof4dt1gOAe3NGWRTamw,Justice Skolnik,[],22,4433,https://open.spotify.com/artist/18bof4dt1gOAe3NGWRTamw,https://i.scdn.co/image/ab6761610000e5ebbcf4bb1761aa1ba6fc85d87d,"(640, 640)","(320, 320)","(160, 160)"
0Cp8WN4V8Tu4QJQwCN5Md4,BENEE,"['alt z', 'nz pop']",60,788856,https://open.spotify.com/artist/0Cp8WN4V8Tu4QJQwCN5Md4,https://i.scdn.co/image/ab6761610000e5eb2f6ab788596dde72644519d1,"(640, 640)","(320, 320)","(160, 160)"
1mZu3rO7qSD09GdDpePHhY,Frankie Goes To Hollywood,"['dance rock', 'hi-nrg', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",54,802308,https://open.spotify.com/artist/1mZu3rO7qSD09GdDpePHhY,https://i.scdn.co/image/ab6761610000e5ebe7efd9cceef0829d1439b11e,"(640, 640)","(320, 320)","(160, 160)"
6fFfnKGVI6X3lkCr8Qw1g1,KXNG Crooked,"['cali rap', 'detroit hip hop']",46,119945,https://open.spotify.com/artist/6fFfnKGVI6X3lkCr8Qw1g1,https://i.scdn.co/image/ab6761610000e5eb725f611db39f17a4710b4ab9,"(640, 640)","(320, 320)","(160, 160)"
5WuoHUDzojO8oto22ahnwN,Lady Bee,"['bass trap', 'moombahton']",43,20398,https://open.spotify.com/artist/5WuoHUDzojO8oto22ahnwN,https://i.scdn.co/image/ab6761610000e5eb56b116a63597edf26db65c53,"(640, 640)","(320, 320)","(160, 160)"
1LDDbkApKOy3pvlXUOY4C2,Chantelle Paige,[],2,3245,https://open.spotify.com/artist/1LDDbkApKOy3pvlXUOY4C2,https://i.scdn.co/image/ab67616d0000b273d71cb8c5a550bc4e71d78cf8,"(640, 640)","(300, 300)","(64, 64)"
4KtU6swIBacJ3KHFMJliOD,the.lazyb,['lo-fi brasileiro'],23,989,https://open.spotify.com/artist/4KtU6swIBacJ3KHFMJliOD,https://i.scdn.co/image/ab6761610000e5eb76727ab9d7eb85e6a910ffa0,"(640, 640)","(320, 320)","(160, 160)"
6eQHjJJa52LUGjBKP5UPos,Animotion,"['new romantic', 'new wave pop', 'synthpop']",35,52059,https://open.spotify.com/artist/6eQHjJJa52LUGjBKP5UPos,https://i.scdn.co/image/da8f210ed81fbcfea186275257c244e4528a1f7a,"(1000, 1000)","(640, 640)","(200, 200)"
5veVxxPm1vzgi6pO2iVA8L,Bruno Martini,"['brazilian edm', 'pop nacional']",60,156635,https://open.spotify.com/artist/5veVxxPm1vzgi6pO2iVA8L,https://i.scdn.co/image/ab6761610000e5eb5005d217e61089d6549e3553,"(640, 640)","(320, 320)","(160, 160)"
4kykUTwCr5vjwoNKtUofeV,Lucas Coe,[],0,6,https://open.spotify.com/artist/4kykUTwCr5vjwoNKtUofeV,https://i.scdn.co/image/ab6761610000e5eb0aee7dcb3795aaa704dff933,"(640, 640)","(320, 320)","(160, 160)"
6vqMDhoigg5btfdPsPTVFt,Cub Sport,"['australian indie', 'australian indie rock', 'brisbane indie']",45,137791,https://open.spotify.com/artist/6vqMDhoigg5btfdPsPTVFt,https://i.scdn.co/image/ab6761610000e5eb6eec5923b46fb3c11cd2ca5a,"(640, 640)","(320, 320)","(160, 160)"
6BeveIeeB8IPP6EYHYcWI6,xJK.,['lo-fi house'],20,4439,https://open.spotify.com/artist/6BeveIeeB8IPP6EYHYcWI6,https://i.scdn.co/image/ab6761610000e5eb760ee85c7f2284ef60c21026,"(640, 640)","(320, 320)","(160, 160)"
